age,annual_income,spending_score,debt_ratio,credit_card_count,overdue_count_6m,credit_score,is_overdue
50,3406.0,54,0.29,1,1,295.0,0
25,2161.0,7,0.78,2,0,259.0,1
56,6390.0,83,0.88,9,2,323.0,0
54,2821.0,10,0.01,2,2,377.0,0
50,4925.0,90,0.06,7,1,395.0,0
31,4931.0,83,0.45,1,1,321.0,0
43,4738.0,28,0.18,9,0,425.0,0
34,5275.0,37,0.41,2,4,250.0,1
31,5036.0,68,0.58,1,0,423.0,0
63,1962.0,83,0.57,9,1,273.0,1
48,4882.0,7,0.99,9,0,301.0,0
25,4833.0,11,0.73,5,3,253.0,1
30,6562.0,33,0.8,8,0,428.0,0
32,2783.0,74,0.9,7,0,300.0,0
38,8086.0,44,0.73,7,0,434.0,0
65,2321.0,6,0.41,8,0,299.0,0
37,7757.0,49,0.58,2,2,336.0,0
51,7473.0,61,0.21,5,0,516.0,0
23,6572.0,89,0.96,6,0,365.0,0
56,7620.0,88,0.54,1,0,536.0,0
34,7588.0,85,0.96,6,1,438.0,0
67,6415.0,59,0.36,7,0,436.0,0
68,5518.0,23,0.71,5,1,362.0,0
51,1772.0,12,0.06,9,1,299.0,0
20,5130.0,58,0.8,9,1,367.0,0
24,7474.0,32,0.49,7,1,384.0,0
65,3435.0,3,0.74,3,1,302.0,0
48,3287.0,82,0.94,6,0,270.0,1
38,6686.0,97,0.4,5,0,448.0,0
52,8365.0,88,0.6,1,0,546.0,0
33,6466.0,84,0.05,2,0,494.0,0
34,5108.0,47,0.73,7,1,329.0,0
68,5893.0,2,0.43,9,1,409.0,0
31,7955.0,36,0.72,8,0,481.0,0
43,3230.0,53,0.48,1,1,250.0,1
43,5522.0,78,0.91,8,1,344.0,0
64,4985.0,96,0.15,7,0,417.0,0
38,5436.0,88,0.43,2,0,398.0,0
53,6794.0,39,0.34,8,3,339.0,0
63,3483.0,36,0.08,1,1,351.0,0
37,7706.0,64,0.22,1,0,537.0,0
66,10079.0,63,0.25,7,3,423.0,0
55,6869.0,78,0.1,8,0,475.0,0
57,5538.0,61,0.8,2,1,273.0,1
31,5276.0,91,0.32,4,0,434.0,0
26,6039.0,71,0.99,3,0,392.0,0
67,3443.0,23,0.58,3,0,372.0,0
65,2276.0,20,0.84,9,0,188.0,0
32,6856.0,76,0.42,9,0,451.0,0
57,6863.0,66,0.96,3,1,375.0,0
38,7375.0,28,0.36,5,0,485.0,0
55,4651.0,86,0.39,5,1,365.0,0
42,4295.0,85,0.28,2,2,302.0,0
45,5213.0,42,0.34,2,0,425.0,0
68,7214.0,35,0.35,2,0,535.0,0
45,3684.0,11,0.31,6,0,351.0,0
64,4681.0,93,0.58,2,1,316.0,0
55,4521.0,63,0.3,9,0,306.0,0
42,3991.0,56,0.67,4,1,315.0,0
56,4992.0,82,0.26,4,0,428.0,0
46,3799.0,61,0.85,6,0,304.0,0
28,8476.0,14,0.86,4,1,427.0,0
31,1500.0,82,0.68,2,0,258.0,1
36,5735.0,10,0.25,8,0,456.0,0
49,4992.0,4,0.77,6,0,381.0,0
58,5334.0,49,0.65,9,0,402.0,0
61,2701.0,95,0.79,8,1,209.0,1
48,3317.0,52,0.41,1,0,352.0,0
56,2741.0,87,0.23,2,0,373.0,0
68,4459.0,5,0.21,4,0,390.0,0
62,1500.0,36,0.03,8,0,409.0,0
22,3040.0,54,0.67,8,0,289.0,0
58,1500.0,4,0.76,2,2,142.0,0
26,8195.0,82,0.11,9,0,504.0,0
48,6429.0,17,0.81,8,0,450.0,0
23,4564.0,25,0.99,1,0,303.0,0
32,8066.0,14,0.2,3,0,534.0,0
64,5171.0,56,0.13,1,0,455.0,0
34,8507.0,90,0.01,3,0,635.0,0
35,10422.0,3,0.3,4,2,463.0,0
55,6387.0,98,0.02,9,1,466.0,0
62,1500.0,18,0.75,4,1,239.0,0
24,5359.0,42,0.37,8,0,389.0,0
63,3027.0,58,0.85,5,0,285.0,1
64,4203.0,84,0.65,8,1,316.0,0
26,6934.0,53,0.43,4,1,419.0,0
53,5613.0,46,0.55,5,0,366.0,0
56,3942.0,61,0.63,1,0,400.0,0
45,6119.0,76,0.84,4,0,397.0,0
25,8629.0,77,0.99,6,1,459.0,0
25,4686.0,69,0.82,1,0,338.0,0
48,4317.0,83,0.91,5,1,304.0,0
45,6620.0,52,0.09,1,1,502.0,0
32,8737.0,30,0.72,4,0,473.0,0
24,5013.0,54,0.35,1,0,391.0,0
24,1686.0,29,0.4,1,1,305.0,0
49,4240.0,57,0.26,2,0,415.0,0
40,4800.0,75,1.0,4,2,270.0,0
45,5978.0,3,0.1,1,0,477.0,0
54,7083.0,95,0.16,4,0,500.0,0
44,5717.0,63,0.11,2,0,473.0,0
66,8198.0,86,0.27,3,0,532.0,0
69,1500.0,26,0.39,4,1,190.0,1
45,11081.0,69,0.24,6,0,542.0,0
51,4005.0,33,0.89,1,0,356.0,0
47,4113.0,9,0.95,3,0,298.0,0
58,4141.0,31,0.44,7,2,242.0,0
57,7693.0,48,0.03,5,0,491.0,0
58,4625.0,47,0.83,1,0,378.0,0
69,6564.0,76,0.41,2,1,412.0,0
44,2628.0,80,0.68,7,0,333.0,0
40,6325.0,81,0.17,9,2,365.0,0
50,1633.0,41,0.41,4,1,255.0,0
51,4284.0,33,0.62,7,0,354.0,0
57,7196.0,23,0.91,7,1,373.0,0
69,5129.0,79,0.69,8,1,290.0,1
68,4773.0,94,0.0,8,0,409.0,0
21,2607.0,77,0.34,9,0,445.0,0
40,4143.0,37,0.4,8,0,422.0,0
68,4040.0,1,0.91,6,2,220.0,1
30,7253.0,14,0.34,8,0,417.0,0
26,1866.0,39,0.91,3,1,226.0,1
32,3826.0,14,0.97,4,0,323.0,0
63,7911.0,37,0.06,4,0,502.0,0
40,6661.0,67,0.01,1,0,539.0,0
41,5568.0,83,0.01,5,0,473.0,0
54,3846.0,14,0.53,3,0,377.0,0
46,6148.0,87,0.71,3,0,397.0,0
25,8402.0,45,0.27,8,0,519.0,0
28,4557.0,95,0.07,8,1,379.0,0
63,2421.0,72,0.51,1,1,249.0,0
63,9413.0,51,0.9,8,1,447.0,0
55,3711.0,41,0.5,2,0,324.0,0
46,7597.0,27,0.32,7,0,504.0,0
24,5756.0,50,0.44,7,1,337.0,0
29,6304.0,44,0.76,1,0,402.0,0
64,4171.0,57,0.01,5,0,413.0,0
45,8457.0,75,0.52,9,1,412.0,0
49,3240.0,60,0.11,4,0,403.0,0
20,5582.0,94,0.12,5,0,457.0,0
27,4143.0,96,0.31,8,0,354.0,0
29,5309.0,67,0.51,5,0,373.0,0
61,7592.0,21,0.9,2,2,322.0,0
35,5162.0,50,0.18,1,0,455.0,0
42,8197.0,84,0.26,8,0,540.0,0
25,6087.0,98,0.41,6,0,472.0,0
35,5174.0,61,0.72,6,0,425.0,0
32,6181.0,39,0.53,7,0,452.0,0
66,5275.0,8,0.66,3,0,423.0,0
57,4082.0,16,0.85,9,0,305.0,0
62,8461.0,46,0.16,7,0,586.0,0
51,5978.0,4,0.93,6,1,372.0,0
30,2848.0,16,0.7,2,2,206.0,1
29,7556.0,69,0.08,1,0,496.0,0
37,3653.0,50,1.0,5,0,346.0,0
38,3376.0,88,0.91,7,1,158.0,0
51,4729.0,87,0.94,8,1,265.0,1
61,5092.0,29,0.28,2,1,354.0,0
42,5651.0,17,0.06,5,0,451.0,0
41,4808.0,90,0.82,1,0,333.0,0
68,5403.0,14,0.8,7,0,399.0,0
