,age,age,age,annual_income,annual_income,annual_income,spending_score,spending_score,spending_score,debt_ratio,debt_ratio,debt_ratio,credit_card_count,credit_card_count,credit_card_count,overdue_count_6m,overdue_count_6m,overdue_count_6m
,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std,mean,median,std
cluster,,,,,,,,,,,,,,,,,,
0,31.864406779661017,31.0,7.877390297690127,6661.836158192091,6464.0,1398.0790438054114,26.009416195856875,24.0,16.49819618036164,0.7327871939736347,0.74,0.16374205988480459,3.005649717514124,3.0,1.5165645454338248,0.3333333333333333,0.0,0.48369645869175365
1,55.25635103926097,57.0,9.21333386530214,3988.727482678984,4040.0,1407.6872711437634,71.31177829099308,74.0,17.584248918415742,0.28877598152424944,0.28,0.18062552877154345,3.2933025404157044,3.0,1.7728342142775155,1.327944572748268,1.0,0.48455752694670645
2,55.8,56.0,8.428546380525523,6315.57868852459,6157.5,1372.8889264872023,26.28360655737705,26.0,16.109943286233857,0.7307377049180328,0.74,0.16358447917585658,7.155737704918033,7.0,1.4270463473755648,0.34262295081967215,0.0,0.4784207107597762
3,55.58455882352941,56.0,8.253813259488023,6375.661764705882,6274.5,1375.5307495759316,25.395220588235293,23.0,16.091361372389013,0.2525367647058823,0.24,0.16088326221279772,2.9613970588235294,3.0,1.4916522401652001,0.33088235294117646,0.0,0.4709638572397349
4,32.253543307086616,32.0,8.162793516498827,3648.6110236220475,3737.0,1205.357923545139,28.100787401574802,27.0,17.246201502243682,0.7245826771653544,0.72,0.1694468846057686,6.988976377952756,7.0,1.485430204944979,0.3669291338582677,0.0,0.4823469041877766
5,33.42622950819672,34.0,8.368155476920585,6315.635701275046,6233.0,1372.2628410769064,74.79052823315118,77.0,15.446452758567258,0.260655737704918,0.25,0.15832012712874652,2.8979963570127505,3.0,1.4922474819653606,0.2331511839708561,0.0,0.42322331177198314
6,33.177949709864606,33.0,8.352647612868195,3393.7021276595747,3475.0,1219.4735108473062,27.61121856866538,27.0,16.92269558426772,0.30177949709864604,0.29,0.18093728228712858,2.6827852998065764,2.0,1.4426885896149562,0.2611218568665377,0.0,0.4484005799320147
7,33.287795992714024,32.0,8.645547378654127,3690.032786885246,3795.0,1275.1378266780607,74.77049180327869,76.0,16.060735657720574,0.2495264116575592,0.23,0.16273594250697407,7.169398907103825,7.0,1.4329579315696739,0.3424408014571949,0.0,0.4787855860991337
8,37.75714285714286,37.0,12.438736713145154,5781.546428571429,5780.0,1683.3078731135681,78.00714285714285,81.0,14.975246686210285,0.50925,0.53,0.2725516129477683,5.882142857142857,6.0,2.429737152831235,2.1892857142857145,2.0,0.43571659405262675
9,34.640809443507585,34.0,8.749178765657046,3913.1720067453625,4032.0,1329.0097947543097,71.54300168634065,72.0,16.158900226042615,0.770522765598651,0.79,0.14730769611796177,2.7234401349072512,3.0,1.3868617244622332,0.35075885328836426,0.0,0.4776104628774731
10,31.09881422924901,30.0,7.642385622114607,6418.268774703557,6295.5,1356.0260704922798,73.15810276679842,76.0,17.247376140158575,0.7476679841897234,0.76,0.16247618696102456,7.092885375494071,7.0,1.4829956218944067,0.3221343873517787,0.0,0.4677565899576742
11,55.054368932038834,56.0,9.287713911829018,6760.403883495145,6589.0,1419.721115810248,76.47961165048544,78.0,15.337737083325496,0.28114563106796114,0.27,0.1829578850439271,7.50873786407767,8.0,1.3925249857077366,0.37087378640776697,0.0,0.48751555257266066
12,57.37021276595745,58.0,8.001543425038646,3780.9893617021276,3807.5,1242.4693026001257,74.97021276595744,77.0,16.02287696727959,0.285595744680851,0.28500000000000003,0.17405476181301507,3.246808510638298,3.0,1.588451266466871,0.0,0.0,0.0
13,55.70321361058601,57.0,8.471476712088087,3681.156899810964,3748.0,1258.953079355082,23.200378071833647,21.0,14.798057300091488,0.7348015122873346,0.76,0.16447001752409252,2.667296786389414,3.0,1.3854248298263971,0.2646502835538752,0.0,0.44156436844691993
14,55.27304347826087,56.0,8.874083568910194,3746.6034782608695,3778.0,1266.4703190274245,27.262608695652172,27.0,15.851408563960389,0.26227826086956524,0.25,0.15937003310979184,7.271304347826087,7.0,1.3236501386095174,0.3165217391304348,0.0,0.47294953263016193
15,57.392116182572614,58.0,8.162447612194306,6818.209543568465,6728.5,1365.9845564248008,67.42323651452283,67.0,18.3134897822975,0.7499792531120332,0.76,0.16218428337053495,2.966804979253112,3.0,1.5659240891397408,0.42738589211618255,0.0,0.5277310043382394
16,45.80327868852459,46.0,14.279767461457102,3647.3647540983607,3458.5,1506.666306862304,38.14344262295082,37.5,23.748682398642483,0.7552459016393442,0.79,0.17265161817618294,4.245901639344262,4.0,2.431993459657372,2.1885245901639343,2.0,0.42226056771519205
17,56.714285714285715,57.0,8.36774999741508,3586.1478991596637,3664.0,1219.2897053188062,72.85378151260504,75.0,16.57115455499454,0.7377983193277311,0.75,0.16120555816628215,6.984873949579832,7.0,1.5367900570249473,0.3411764705882353,0.0,0.47450342015809643
18,32.046345811051694,32.0,7.955321108823128,6504.821746880571,6367.0,1400.6039106748408,25.240641711229948,24.0,15.526159570738747,0.26176470588235295,0.25,0.17423687151391914,6.836007130124777,7.0,1.5906606084824135,0.2976827094474153,0.0,0.45764729775989227
19,45.54609929078014,46.0,13.626160299834902,5954.91134751773,5795.5,1782.2531471059308,24.138297872340427,24.0,14.857281472423345,0.32492907801418436,0.31,0.21331853933175718,5.453900709219858,6.0,2.325704048469433,2.226950354609929,2.0,0.482708761486928
