k,inertia,silhouette,inertia_drop_fraction
2,52274.24482339,0.1362759139431328,
3,47231.89028541197,0.12482688427017925,0.09645963428096882
4,43140.45629680615,0.1278597761822637,0.08662439643813069
5,39830.62703296596,0.13064531824732387,0.07672216633659557
6,37296.417304386836,0.13483085761171135,0.06362465061073919
7,35279.32121130661,0.1359961935592048,0.05408283794709079
8,33690.80726927058,0.13419701773556408,0.04502677170350233
9,32081.519788261357,0.13762122362176007,0.04776636748853025
10,30668.639730952436,0.1396641411755238,0.04404030939412962
11,29534.900727329434,0.14225434284743899,0.036967371672463556
12,28806.70744877102,0.13447134739973976,0.02465534877808473
13,28088.285376534168,0.13322364446941914,0.02493940251639215
14,27275.79726241986,0.13606332607505395,0.02892622683167012
15,26570.826140912763,0.13331475695977127,0.025846031730056618
16,25859.540750808475,0.1322267004073767,0.026769411923142195
17,25249.796671874537,0.1398420955920765,0.023579076086835515
18,24372.080536868612,0.13936720194001434,0.03476131496867074
19,23862.263953619426,0.14564929791033104,0.020918057548594104
20,23460.981300935542,0.1477712182618993,0.016816621149772226
21,23049.65802657594,0.1452898933897373,0.017532228046369003
22,22717.0355624101,0.13813733709130585,0.014430689764782234
23,22342.597568709418,0.13856629196140755,0.016482696110238226
24,22025.366416497513,0.14202795548174219,0.014198490181651202
25,21742.97007678198,0.1402706553648525,0.012821413926808023
26,21448.035609351275,0.1368305801587731,0.013564589676074212
27,21131.227764777534,0.1382652534590876,0.0147709492069108
28,20802.47005846269,0.13728790407552957,0.015557908417552002
29,20532.48820296587,0.13845611329500634,0.012978355682670029
30,20185.716151909564,0.14208573871602653,0.016888944370912373
31,19987.668674943056,0.1403411539435669,0.009811268298636655
32,19730.76724129794,0.1362159194410524,0.012852996406087724
33,19411.794805868303,0.13914285787429453,0.01616624592083804
34,19214.998010668867,0.1429662564555705,0.010138001002356734
35,18860.962829682518,0.13556228356009728,0.01842493976787174
36,18766.77180226572,0.13776771665519152,0.004993967077256745
37,18501.465926440193,0.13649032853466372,0.014137001217945144
38,18205.00313857552,0.1398991107899657,0.016023745850376137
39,18059.689576347293,0.140699851958237,0.007982067408728755
40,17922.83933898463,0.13616573371501323,0.007577662771230287
41,17707.475023793777,0.13878321441706068,0.012016194036979844
42,17587.762022791878,0.1409764152472665,0.006760591266741223
43,17311.164651932286,0.1361320743772161,0.015726695102034616
44,17194.20439153973,0.14183574702055124,0.006756348445885796
45,17112.752535156662,0.1376626277776801,0.004737169253562268
46,16932.39991999123,0.13917118690433156,0.010539076913250178
47,16811.397475284055,0.13628392844230866,0.007146207583032083
48,16567.79919209194,0.14196508418776385,0.01449006744086856
49,16487.299769763053,0.14008605998136836,0.004858787905113737
50,16257.891619184255,0.1456182515994978,0.013914234215570143
